address,total_block_reward,lock_hash,mainnet_token_reward
ckt1q9gry5zgvkprd780vqhlspq8gq5j0engkvwaqj350nxwq8,2424335796838416,0xc9a17778b99b59067af358390da31f4de29ea669e93d19b199948ee4a1f51c40,468919
ckt1q9gry5zgj5qxtpa9zx5gtwr9wuelzcf5skz9upjjrpp3kw,1592073477289413,0x16dd15cda822e307771621a1edc6d8a2dbf52299a690a38a35db1a1cbe0147b0,307941
ckt1q9gry5zgrtjfnf34emdw8uv7q8tmln3jscljv20y4skprh,1075827268047660,0x84bfdeece74a8cc44c608f435e769dad89cf8a62a3ba5f3c3374138c7f98a76e,208088
ckt1q9gry5zgulknfcehkfz369kr3nd85z9765g5cdgjvefvdn,885881155093363,0xb33f2f3e04296c11a50401f750f5b7bff1be838138891865de1fdc493269bec1,171348
ckt1q9gry5zgjs97qlzc46sygk2sd08e73t2xn8tztx669ujhy,811294887374977,0x91290300d8fd464b4665d66ded88eecd54ac2d9ae5694f3a844c4e804055f6be,156922
ckt1q9gry5zgfg6x29ak0zpfm44kfduhz9l9c0d7guwrmp9dy3,620929915010940,0xe1f513efa0f26d35870676497c6d2b44b3f2c05dab7a04ce76684e601797e9b8,120101
ckt1q9gry5zgxe6hguajz2mdstxuznrg4gj97elpymk4cnz52c,525792056176432,0x5f760cb0ebb6251f3cba589e683e6fd1eff91e43783172a7911b979c905e59cb,101699
ckt1q9gry5zgqqq6e3ch6epyaeh0mkzwp3d7lw8yf2yulvvjtk,421903570813213,0xe06adc6d64a649414a29a92413ad091b826eb84ac235056988dd0ab8daa7559c,81605
ckt1q9gry5zgdtduqtvkgvj0swlhzhea9hygxg4g4hwvqs4rxg,364773734959053,0x8f73a48072b291d14d04f1b38d2d4261dc70bc1f0366f3d57c461333019e4cf4,70555
ckt1q9gry5zggw7l7dmzv3xl62ksknkfyvr7pz5u44tvmwmj60,333982521540050,0x3be86dac8422b99feaa00ff53977769766bccf8551d5f4769db3a0041d30c964,64599
ckt1q9gry5zg3uqqwsychfg2d8dv38p3yzdnj8x8lf5hwrvr92,230854782860192,0xf56f5a363810672f092511280913cced139dd79e49540ed010d8e50e40490c04,44652
ckt1q9gry5zgxjxdk0khy55yfp4jkmd85ltx5dap3awqsxj44z,149104376843895,0x6806914ad238223cc357221e0356b788c30a371bdfa313c55fc928dc41ea41c0,28840
ckt1q9gry5zg8hnxux5qn2fqvkq73l7zv6k6kex5jw6d5dpwg3,147461651218912,0x0c5c809a79340cd42d17c8262b7b0a0d3616f5f4a5d2b73dc7372405522ed523,28522
ckt1q9gry5zgz9g969hdlan7zkpnplhe4lp9xz9cu9epf2afwp,112794386315391,0x05d929c0e83656a110ef5efffb28f136dd6e0eca154060436c6965797b50adec,21816
ckt1q9gry5zgaxqw54l5g22qtrzfzdcf7n53j9r6aq9p4gedz0,43545966235809,0x67e1bd8cf994fb7db0b13ec57d363819c08688d7d96ce933089c8de17b416d4d,8422
ckt1q9gry5zgxq6u0jxqr6enlpnulmdk4hq4tgs972hyh2zsh7,32594161625489,0x6bebaa5e9d0ced21f42bbbcea63a21fd60c8a176f5a346b2b2a5140ee8a790da,6304
ckt1q9gry5zg3rfmguaw6v6d9p3c7c2ma4rpftjunucmqevlkt,31790883966075,0x70d351af8b5fd01a140192b69cd833420e3bf68ecc2207702601fd58cd537ab7,6149
ckt1q9gry5zgmahervyg6m70fwtfpcf5jdat8k96pzryueq75f,30852407614059,0x3c24e7b050112f82bbd65aef9779649d0bf35e29ad53963dc63e111678fed47a,5967
ckt1q9gry5zgmjg3an5ftz5wvwff0dmtmy8f0q9md57h4pn35g,28416690751945,0x18e9476bf3dd579bfbf55ceb8de0af3340435328b95f619e62508b5de6a6573d,5496
ckt1q9gry5zgcfutwt6c3hxtuyrs0mjtsjrwmxg85wr3hrtcsn,26180841710238,0xe13ed48aa7f25150d36aa9f972c1881e433569ae47bbc848868abef66543b55e,5063
ckt1q9gry5zg5aywzxc99xa9zcpuswf799m8qp2mjfuul35fpw,25019381356760,0xb018541bd0b9620affa3c65387453c03ebe7c7443b634589382706407878eb41,4839
