address_hash,total_block_reward_shannon,lock_hash,mainnet_token_reward
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,4122524737163350,0x2285157e5ad963bc1ee81d799d31147d866c48b932305b28bd8a8af6460bb4b6,3366000
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,3862014746781190,0x205b900a300f583141e2f42f92083c064b3e29f3c43d445c988fa6999af63244,3153296
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,1541331197684020,0xffc14a7bc41789ed99973654950402270937c5866d858f2a6807c5aa0eec1bff,1258481
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,961484992031545,0x29c6d44fbe9fa45b5a5810035e591b149a2614b8501a22b5188f0b92dfa314b4,785042
ckt1qyqyktz4j9ksrf8qjfps59qj6t60stv7lesqhzt28z,463362270026330,0x7e98eada8989bab435a5ad6ac7303cd2cf5e3bf82a1aa71fe47826ed8ebba5e2,378330
ckt1qyqwh2p2e8zsu5j059mmzgq8sx7prafwr3gs4xvgze,15026480199940,0xb755cac7dc394cb455306e10ac7d3866228ad63680e48d3572cc3afffb8d0ce1,12268
ckt1qyq99qnkfjx0sem3fztfwk9ps0yumn0jqlwsqknwwy,12660865519160,0x00078e310f434a6529b8112f1a87e84793661356c67485b510269f3847068250,10337
ckt1qyqtyw475hdft34h48u893lzcyn4qk66tcjqrvpyct,10802541756608,0x438c0e1bf70c135306b388d00488580d0df5fe21469da1dc8474c36654ecc6e9,8820
ckt1qyq8zvglj69ucnn7msv8nrnhvl9nhxuanexsvg09h4,6388888888885,0x6a6d6569d1e106225236212c75a32e4e444450b8e3308b6484a92a19a56d9156,5216
ckt1qyqfmnsmzs7wrg40qkzx4dgmz0a0l4jmdamqteq7uu,4305555555558,0xfa613c92382f824ff5023703b145e1d3300a4ce2148e5b1f9516fdd1ec4f2f90,3515
ckt1qyq8dejvdg8qy4sw9j3q9usha2ly0fjp7ftqv2d49e,4258314109961,0x433f97b27864a61ade0f94f34e3b25d1f4b4db4c230be198593179bdb50e83f1,3476
ckt1qyq9aa6xd4tyt9tvcz094v4j64ndpzk3dvmsxecvjs,2551951172632,0x9ec92702be80218c0e0c5f60ddb26a493169230d4a7f6ecda2601b0d8bd3c6a6,2083
ckt1qyqtmlvld9tz84437agms28z253llcwq4hps3g6qvn,2222222222227,0x1e190f7a4292280a95fb1c847089228ca2cd2659c5a4a19bcde5a08592b1b48a,1814
ckt1qyqt6f5vqw7ky65qurz8tk9knt3r5jqmmpgqp22lly,1946414840449,0x09b214a3494f84e0dece64dc4b3267934eea70270db17b1fc69435e65c9bb6bb,1589
ckt1qyqxtr6kep8tjufteefrcflyawlppxz8dc0qvla3yh,1875000000003,0x72988dec113bee160710f25bd7603fd80da201459cb99916bbbaa21e825cceae,1530
ckt1qyq2heetg9gq03rgw8tz54uhvnup86hunhaqeq6mc2,1821414840444,0x33c718dcd71bac9ebaebe2f3e9e3ce7ed2f9e2cedf803ff1a7e7b19440a8bd86,1487
ckt1qyq0tzkxqct2d7cs9jcat2mf0qn22p4hdxzqmh9spr,1799925663647,0x8e3187f4cf5668c28adc10627d5a6e22648952cc10fca1473f29a7ccf3adf247,1469
ckt1qyqr6j22u5s848l744dh7gqzmd48zhrgldsqklwj9w,1551182237604,0xd2fe75c308a9db8c34781de60f0c53c10e847b2f13e06863fbc6d7ea0b71c9f2,1266
ckt1qyqg6qc65f9s2hlsvlxxtdl6uw00w2ga4hfqztqx5d,1034121491735,0x9352d67ca5ff9a0bdc550061dcc393b5a33f60e67af3788b651b6b7dc887f3ca,844
ckt1qyqt3xk479dmlscp8p945pz4zepr0sq8ef6sansvcc,981022293526,0x8ffed51edbe8ea65bc9a5425096c4eab8c6ec9a033e8fe402fe928ed47e8c6c4,800
ckt1qyqgy36akqckfat9n028qn46cepq497g8stqwlsfl5,866931711881,0x96d022fc9024adb477bf1562a1686491a45f1626b504db92040719a502b8a1a7,707
ckt1qyq9apupymkjy5xpqfsscng2qfceyt55cggsjt0jv6,747671649424,0xa955de7375e6c7797c5fe221c4f8b1d01908d8478d21b0d12cb106e6364a24c2,610
ckt1qyq879ju7ln3mn9pp32jhj02lpyfq692d3tqeyzqkd,536503948381,0x3d7c905bfcac6300f518667b26d051f44c929af77a33f2365feef1633c26e6e5,438
ckt1qyq8xlt3e8ga64w2ht7fn7sjq6x00mrxnvcs2u6m3u,444444444444,0x087b8b838868ee1633ceb1803e9af82aefa32752029b1b11565a0e9c4c85b1c7,362
ckt1qyq8dqua3ex8wc9rzf0e3lntsjgyvacpml7srqt0dj,252270433906,0xab044679950d915e6264fd56c9249dea3d155b5e5aa238ebd96f36a633ba416b,205
