address,lock_hash,total_block_reward,floor_total_block_reward
ckt1qyq052ezneq9nn8qkp5tnv0z5uekmplpg5xq9qu7pc,0x958c3b2490661f43a6773c168007ca10cc7730c7d176afb62e0922facf83c9ea,4025013963541450,1109215
ckt1qyqd0vgxmwsdykxl2zhnz20vvejg7zdvy3rsefr2v6,0xa17d8f64c20e5224671af2a2d529fd9c5b518f23261164195fc4113078f8ae26,2001015961248420,551440
ckt1qyq9gf7fslxj0tas0evm85jf4wd2q2n3jhus36e0yu,0x3e6ba7b2e8923217dfdc45f737f59f376554d428d2182a0a612318711e00f4b7,992945495145467,273636
ckt1qyqwh2p2e8zsu5j059mmzgq8sx7prafwr3gs4xvgze,0x922c0bd8f110b23b3dfc4fda18c0a708556139ad2bc0ef93694d6f60cb9b16fd,976156245145335,269009
ckt1qyq99qnkfjx0sem3fztfwk9ps0yumn0jqlwsqknwwy,0xa62a81d7f0b9d134053c2e0f55d660cdc6c5b7085062bf9c58b6f7b75eb04fcf,643017748737951,177203
ckt1qyqqqqdvcutavsjwumhamp8qckl0hrjy4zwql6s6dy,0xf7a985f3a6e9e78a2bf6c9db11ebbb17fb677581977435c2b61f5d729ac461d8,514482554619133,141781
ckt1qyq2vqrsynpxum6p6q77q8gju50gt4mupy5qrs8pvc,0xa7e989111af890c0c5a12f49fca0c84e6747166672aeaccdb141bfc638c94aa6,283332399935807,78080
ckt1qyqfj6t0596xm6j4af2wsv0z0d3nn0t7hcrsqppsp0,0x8e817b2eda29cf0a5e53f4dc5cff60942829b083b487b5f1d8bbf83d87faac00,219415395582582,60466
ckt1qyqdm8h0m375p9x9zakyl55hrdfjeyuq98fqfenma5,0xae76417411615116e0907b856fd55544ae9347c1f83435d12bcc6b4f990e9614,218007710728075,60078
ckt1qyqyl3qew9lz60u2zjrjanlktr90zyemeu3sgwgah2,0xdb55c2f889ff23256aea433b6b914202a04c45b477740c7d2a0f46af25eb208a,202186836629646,55718
ckt1qyq99v44cgc58jph76z5yaccwlf3l8y4gn8qf2kjyq,0xa6413e107e199e07f7087f3817d9ce6b96203c1701a1320c3eb6444a111f886b,180149555485545,49645
ckt1qyqtsmvjgckhm0gfz6sufx3kptsuqx8s9j4s9nsef3,0x91b8adfb2986acb0e3edb52e7e0957ef1e5c3f16cbcae8230cff56622c2d9047,69525656335266,19159
ckt1qyqpkxjme0rq56t2mhryplth6pj424lhr7tsveaal4,0x94a3a713efc2da4c418addf3a50d94c38d485b29314c3dbd9cf0966044009cf5,59099032409608,16286
ckt1qyq2jk4kyk89vxzk40w537tlkc20rxc3w8nqtpsvgg,0x27aa7809885e2b35b2a3e11a08d4cd0e1701e0937725dcc2f74865032d48aecc,44342902664356,12220
ckt1qyqr3269g29czrhe7qzka46xy7k8kvmkr7jqfs5yg8,0xecc2c0bed096c801e41f5c85dbbdc07d81737d042ff2fd3fe16d42675248712d,44201986936433,12181
ckt1qyq9a5hxjsnektjzgf02thqsmjmdav3zgpzq4969vt,0xe694a7a8141e79e11bccf072354e49bb1a4483b81923a3b1297a660263e5165c,43883380847601,12093
ckt1qyqf5wtdqm8ze0qmp9m8vg2m8rze0mz3aj9skhp82c,0xe2be29718502e6f03c28d69924b5056e332f2f71d78e297292899c46f2827ebe,39869393744894,10987
ckt1qyqd5eyygtdmwdr7ge736zw6z0ju6wsw7rssu8fcve,0xce3c0b56b23926fc54a53c8cfb25a05329ed406ba0e5ee6df74abad6559cc326,31266449418672,8616
ckt1qyqdeyg7e6y4328x8y5hka4ajr5hszak60ts65jxxt,0x110bdac5de269f91b0005af7c6a778a80404dfab77f12d53fb3129b1df1ce009,29215155913241,8051
ckt1qyqvy79h9avgmn97zpc8ae9cfphdnyr68pcslkfscc,0x72840d18d7c6a7bc9db413c127161b576459679a20c7c798dff2728dd4f86ec1,22873571683180,6303
ckt1qyqg26fpss3gq0jgan3jq3hp02rnjtmu50eqeyu3nn,0xd94c52117ff93550d9b3eae787a2ad8afa350b6432c056d3040435afd880b98d,22594828714123,6226
ckt1qyqy5hs0maual5xv296uw9wsm3wc6798v2xq8fs40x,0x822f68fbdddfbb7a84cdb7253f578565b2600dfd831c527a884d91f1195f1a0f,19047678590052,5249
ckt1qyqvnwr7c82txcqv4me977sfkc0hjwv9mj4qedgjl8,0x199eccd1db9becc546bd46bd35c2e419505a4128c4c5d63abb6c3480d5c2cc7b,15434963262724,4253
ckt1qyqdlykn7zhp2k8jy37nu7lt4a8ezt0ujqpszw747j,0x29d6b90ca7b451c54c8bb680af9ace4a09f9b0b736cb3ecd9548d1b59df0489b,14086526577146,3881
ckt1qyqps5ux5g76qa033lwwhjupjsye0f8ry8kq0exadn,0x60fd4e9439ff10304e120226bd9a64c04f3d8a12fedabca0433b082679466191,12639456062367,3483
ckt1qyqx7gx4s4xj2h3scx3m08de67f95s3kcvnsv50gj5,0x5259839f01fd132fdcd1258f5ec67b46a0228d7172517e7655065cf763b87541,10916786078029,3008
