address,total-block-reward,lock-hash,reward
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,6314642346688230.00,0xe9e412caf497c6...a9b6d1ca51eb38d07d59,4387613
ckt1qyqfhv78ks8xyalzhntde0hjmjrusdyjxyxsw343xc,3386070313107250.00,0x5324b13b906cd4...7bf437193cfb694c1501,2352748
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,3032399905210270.00,0x26f643cce511eb...42843139827eddbfc71b,2107007
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,2670092232794770.00,0x4827da5c392dce...cd90a92e8e3e5c8fc0a3,1855264
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,903421692474896.00,0xd9f7e1d733e6ba...61adfc55d6f05c9f143f,627726
ckt1qyqq5jr0hrm0uc8hduqp6cmjmfqmayghyfvsukcysf,690340343588379.00,0xe54f1bef9ab063...252e93f287fd82559d1c,479670
ckt1qyq98fl86kcmqkdv3cf6u8pgf6f99j93q37sq8sr05,97849095455241.00,0x7afbc2b162853b...0dc16b5387aaa8ecb46d,67988
ckt1qyqzasa9ldqf3v20fzr42hl93ktxe2evdf3spzteh5,89523557741547.00,0x0034bc751826a5...d7df1be89baed630ecbd,62203
ckt1qyqfchkwy2jnncscne75ktysa9ww6dnlk8wqvjtqvc,73374471885277.00,0xb8e522eade870c...2f950907610ee782c5fb,50982
ckt1qyqxlzk7suxkdnl6dennf8dc904et3pqfers5fzanz,4278559025540.00,0x014a18988326ac...8ec09b47d0a956ad8070,2972
ckt1qyqwmxws34634ced7l7x7vzgklx22mpmltaq8z0m5x,3063485810613.00,0x4e9265ae20a0db...8803b58ab3daff318690,2128
ckt1qyqv96vz5ssymn3h77unkvg55cdjadeazm9qj2dqk9,1850389423945.00,0xe21b0c612afa55...62e2427b9cc1c0f817ed,1285
ckt1qyqqjre63vyx4v7plq8zycpcuz6n5wpw28mqgnp9dg,1213997681516.00,0x7419901ae718bb...ac6f3f9491d751046110,843
ckt1qyqqeqypyh3mjmwuwsh70sax9mtrnluhv0vscr9c73,1122239143592.00,0xfe3b681904c6f3...88f95f83ac8d76c9a7b3,779
ckt1qyq8p2wg2t97c8ja8dyhcl23a9gp4nug7qwqaqeuma,754486337538.00,0xeb862b2f605c8b...a8ea7f17c765ccd05bce,524
ckt1qyq2z0x0f6z0sew4vyq0xt8v8q5j9vcpcn8qeqgjjk,265624407088.00,0xf2b9134102cbbf...1988927fabe1c4013523,184
ckt1qyqf2qvt66hujvppykhgj0tvg9xxaqal2azqaanr54,106544901066.00,0xf8bdc222cb3206...5c154af067e87c4b06ee,74
